ID,レベル,領域,章参照,課題タイトル,課題内容,提出物,タグ
B001,初心者,Jupyter/IPython,第1–3章,Notebookの基本,新規Jupyter Notebookを作成し、Markdownセルとコードセルを使って自己紹介ノートを作る。Markdownで見出し・リスト・数式（$a^2+b^2$）を1つずつ使う。,Notebook（.ipynb）,"Jupyter, Markdown"
B002,初心者,Jupyter/IPython,第1–3章,%timeitの入門,Pythonのリスト内包表記とNumPyベクトル化の実行時間を%timeitで比較し、結果をMarkdownで考察する。,Notebook（.ipynb）,"IPython, timeit, NumPy"
B003,初心者,Jupyter/IPython,第1–3章,ヘルプシステム,? と ?? を使って、numpy.linspace と numpy.random.rand のドキュメントとソースを調べ、学んだ点を要約する。,Notebook（.ipynb）,"IPython, help"
B004,初心者,Jupyter/IPython,第1–3章,Tab補完の活用,Tab補完でnumpy.randomモジュール内の関数名をリストアップし、よく使いそうな関数3つを試す。,Notebook（.ipynb）,"IPython, tab-complete"
B005,初心者,Jupyter/IPython,第1–3章,履歴とOut変数,In/Out履歴を使って前の計算結果を再利用するミニワークフローを示す。,Notebook（.ipynb）,"IPython, history"
B006,初心者,Jupyter/IPython,第1–3章,Magicコマンド基礎,"%lsmagicと%magicで利用可能なマジックの一覧を確認し、%pwd, %who, %run をデモする。",Notebook（.ipynb）,"IPython, magic"
B007,初心者,Jupyter/IPython,第1–3章,シェル連携,!ls（または!dir）と!echoを使って、NotebookからOSコマンドを実行し、結果をpandasで読み込む例を作る。,Notebook（.ipynb）,"IPython, shell, pandas"
B008,初心者,Jupyter/IPython,第1–3章,エラーモード,%xmode Plain/Context/Verbose を切り替えて例外表示の違いを観察する。,Notebook（.ipynb）,"IPython, xmode"
B009,初心者,Jupyter/IPython,第1–3章,デバッグ入門,%debug を使い、故意にエラーを出す関数のローカル変数を調べて原因を特定する。,Notebook（.ipynb）,"IPython, debug"
B010,初心者,Jupyter/IPython,第1–3章,プロファイル入門,%time と %timeit の違いを同じ関数で比較し、どんな場面で使い分けるかを説明する。,Notebook（.ipynb）,"IPython, profiling"
B011,初心者,NumPy,第4–11章,配列作成の基本,リストから1次元ndarrayを作成し、dtypeとshapeを確認する。,Notebook（.ipynb）,NumPy
B012,初心者,NumPy,第4–11章,ゼロ/ワン配列,zeros・ones・fullを使って 3x4 行列を3通りで生成し、値とdtypeの違いを比較する。,Notebook（.ipynb）,NumPy
B013,初心者,NumPy,第4–11章,乱数配列,np.random.default_rng を使ってシード固定の 5x5 乱数行列を作る。,Notebook（.ipynb）,NumPy
B014,初心者,NumPy,第4–11章,スライス1D,1次元配列のスライス（前半/後半/ステップ）を3種類示す。,Notebook（.ipynb）,NumPy
B015,初心者,NumPy,第4–11章,スライス2D,2次元配列で行・列を抽出するスライス例を3つ示す。,Notebook（.ipynb）,NumPy
B016,初心者,NumPy,第4–11章,ビューとコピー,スライスがビューであることを確認し、コピーとの違いを実験で示す。,Notebook（.ipynb）,NumPy
B017,初心者,NumPy,第4–11章,形状変更,reshapeで 3x4 -> 2x6 -> 12 に変換し、元配列と同じメモリを共有しているか調べる。,Notebook（.ipynb）,NumPy
B018,初心者,NumPy,第4–11章,連結と分割,np.concatenateとnp.splitで配列を結合・分割する。,Notebook（.ipynb）,NumPy
B019,初心者,NumPy,第4–11章,ufunc基礎（算術）,加減乗除・累乗・剰余のベクトル化計算を示す。,Notebook（.ipynb）,NumPy
B020,初心者,NumPy,第4–11章,ufunc（三角/指数/対数）,"sin, exp, logを使って関数値を配列で計算し、端点を確認する。",Notebook（.ipynb）,NumPy
B021,初心者,NumPy,第4–11章,集約の基本,"sum, mean, std, min, max を軸なし/軸ありで使い分ける。",Notebook（.ipynb）,NumPy
B022,初心者,NumPy,第4–11章,多次元集約,2D配列でaxis=0/1の合計を比較する。,Notebook（.ipynb）,NumPy
B023,初心者,NumPy,第4–11章,ブロードキャスト1,"形状 (3,1) と (1,4) の配列を足して (3,4) を得る。",Notebook（.ipynb）,NumPy
B024,初心者,NumPy,第4–11章,ブロードキャスト2,行ごと/列ごとに平均を引いてセンタリングする。,Notebook（.ipynb）,NumPy
B025,初心者,NumPy,第4–11章,比較とマスク1,配列の要素がしきい値を超える位置をブール配列で取得する。,Notebook（.ipynb）,NumPy
B026,初心者,NumPy,第4–11章,比較とマスク2,条件を満たす要素数をcount_nonzeroで数える。,Notebook（.ipynb）,NumPy
B027,初心者,NumPy,第4–11章,ファンシーインデクス1,指定したインデクスの要素をまとめて取り出す。,Notebook（.ipynb）,NumPy
B028,初心者,NumPy,第4–11章,ファンシーインデクス2,2D配列の対角要素を取り出す。,Notebook（.ipynb）,NumPy
B029,初心者,NumPy,第4–11章,ソート基礎,np.sortとnp.argsortの違いを確認し、上位k件を取り出す。,Notebook（.ipynb）,NumPy
B030,初心者,NumPy,第4–11章,部分ソート,np.partitionで最小k要素を高速に取得する。,Notebook（.ipynb）,NumPy
B031,初心者,NumPy,第4–11章,ヒストグラム,np.histogramで1Dデータの度数分布を求める。,Notebook（.ipynb）,NumPy
B032,初心者,NumPy,第4–11章,乱数の再現性,乱数生成器を2回初期化して同じ配列が得られることを示す。,Notebook（.ipynb）,NumPy
B033,初心者,NumPy,第4–11章,dtypeの違い,int32とfloat64で同じ演算をして結果の違いを観察する。,Notebook（.ipynb）,NumPy
B034,初心者,NumPy,第4–11章,NaNの扱い（NumPy）,"np.nan, np.isnan, np.nanmean の違いを確認する。",Notebook（.ipynb）,NumPy
B035,初心者,NumPy,第4–11章,線形代数入門,np.dot と @ を用いて2Dベクトルの内積と行列積を計算する。,Notebook（.ipynb）,NumPy
B036,初心者,NumPy,第4–11章,距離行列,2Dポイント集合からユークリッド距離行列を作る（ブロードキャスト利用）。,Notebook（.ipynb）,NumPy
B037,初心者,NumPy,第4–11章,乱択,np.random.choiceで要素を無作為抽出（置換あり/なし）する。,Notebook（.ipynb）,NumPy
B038,初心者,NumPy,第4–11章,インデクスの結合,複数のブール条件を & と | で組み合わせる。,Notebook（.ipynb）,NumPy
B039,初心者,NumPy,第4–11章,メモリ確認,配列のnbytes（必要ならitemsize×サイズ）を報告する。,Notebook（.ipynb）,NumPy
B040,初心者,NumPy,第4–11章,型変換,astypeで整数配列をfloat配列に変換する。,Notebook（.ipynb）,NumPy
B041,初心者,pandas,第13–23章,Series基礎,リストからSeriesを作り、indexとvaluesを参照する。,Notebook（.ipynb）,pandas
B042,初心者,pandas,第13–23章,DataFrame基礎,辞書からDataFrameを作り、列・行の取得を練習する。,Notebook（.ipynb）,pandas
B043,初心者,pandas,第13–23章,loc/iloc入門,locとilocの違いを例で説明し、2通りで同じ行を取得する。,Notebook（.ipynb）,pandas
B044,初心者,pandas,第13–23章,列演算,既存列から新しい列（例：BMI=体重/身長^2）を作る。,Notebook（.ipynb）,pandas
B045,初心者,pandas,第13–23章,ブールフィルタ,条件で行を抽出し、件数を数える。,Notebook（.ipynb）,pandas
B046,初心者,pandas,第13–23章,インデクス操作,set_indexとreset_indexを試す。,Notebook（.ipynb）,pandas
B047,初心者,pandas,第13–23章,連結concat,複数のDataFrameを縦方向に連結し、インデクスを再採番する。,Notebook（.ipynb）,pandas
B048,初心者,pandas,第13–23章,結合merge(1対1),キー列で1対1結合を行う。,Notebook（.ipynb）,pandas
B049,初心者,pandas,第13–23章,結合merge(多対1),カテゴリマスタを参照する多対1結合を作る。,Notebook（.ipynb）,pandas
B050,初心者,pandas,第13–23章,結合merge(多対多),多対多結合を行い、重複行の扱いを確認する。,Notebook（.ipynb）,pandas
B051,初心者,pandas,第13–23章,欠損値の検出,isna/notnaで欠損をカウントする。,Notebook（.ipynb）,pandas
B052,初心者,pandas,第13–23章,欠損値の補完,fillnaで平均/中央値/前方埋めを比較する。,Notebook（.ipynb）,pandas
B053,初心者,pandas,第13–23章,型（nullable）,"Int64, boolean などのnullable dtypeを使ってみる。",Notebook（.ipynb）,pandas
B054,初心者,pandas,第13–23章,階層型インデクス入門,MultiIndexを作ってstack/unstackを体験する。,Notebook（.ipynb）,pandas
B055,初心者,pandas,第13–23章,groupby集約(基本),グループごとの平均・合計・件数を計算する。,Notebook（.ipynb）,pandas
B056,初心者,pandas,第13–23章,groupbyの集約と変換,"agg, transform, apply の違いを小例で示す。",Notebook（.ipynb）,pandas
B057,初心者,pandas,第13–23章,ピボットテーブル,行・列・値を指定してデータをピボットする。,Notebook（.ipynb）,pandas
B058,初心者,pandas,第13–23章,文字列操作1,Series.strを使って前後の空白除去・大文字化を行う。,Notebook（.ipynb）,pandas
B059,初心者,pandas,第13–23章,文字列操作2（正規表現）,Series.str.extractでパターンから列を抽出する。,Notebook（.ipynb）,pandas
B060,初心者,pandas,第13–23章,時系列入門,DatetimeIndexを作り、日付範囲のフィルタを行う。,Notebook（.ipynb）,pandas
B061,初心者,pandas,第13–23章,再サンプリング,日次データを月次へresampleし、合計と平均を比べる。,Notebook（.ipynb）,pandas
B062,初心者,pandas,第13–23章,シフトと移動平均,shiftとrolling(window=7).meanを使った特徴量を作る。,Notebook（.ipynb）,pandas
B063,初心者,pandas,第13–23章,並べ替えと上位抽出,sort_valuesとnlargestで上位n件を取得する。,Notebook（.ipynb）,pandas
B064,初心者,pandas,第13–23章,カテゴリ型,astype('category')に変換し、メモリ使用量を比較する。,Notebook（.ipynb）,pandas
B065,初心者,pandas,第13–23章,重複処理,drop_duplicatesで重複行を削除する。,Notebook（.ipynb）,pandas
B066,初心者,pandas,第13–23章,欠損の可視化準備,欠損の位置をブールで持ち、列ごとの欠損率を算出する。,Notebook（.ipynb）,pandas
B067,初心者,pandas,第13–23章,データの入出力,CSVを読み書きし、dtypeやparse_datesを指定する。,Notebook（.ipynb）,pandas
B068,初心者,pandas,第13–23章,列の型推定,infer_objectsやto_numericで型を整える。,Notebook（.ipynb）,pandas
B069,初心者,pandas,第13–23章,describeの活用,数値/カテゴリでdescribeを比較する。,Notebook（.ipynb）,pandas
B070,初心者,pandas,第13–23章,小規模EDA,任意のデータフレームで5つの基本統計（平均/中央値/最小/最大/標準偏差）と上位カテゴリの頻度表を作る。,Notebook（.ipynb）,pandas
B071,初心者,Matplotlib/可視化,第26–36章,線グラフ,plt.plotでy=sin(x)の線グラフを描く。軸ラベルとタイトルを付ける。,Notebook（.ipynb）,Matplotlib
B072,初心者,Matplotlib/可視化,第26–36章,散布図（plot）,"plt.plot(..., 'o') で散布図を描き、αとマーカーサイズを指定する。",Notebook（.ipynb）,Matplotlib
B073,初心者,Matplotlib/可視化,第26–36章,散布図（scatter）,plt.scatterで色とサイズを別変数で表現する。,Notebook（.ipynb）,Matplotlib
B074,初心者,Matplotlib/可視化,第26–36章,ヒストグラム,plt.histで正規乱数のヒストグラムを描く。ビン数を変えて比較する。,Notebook（.ipynb）,Matplotlib
